date,케데헌_콘텐츠,device,gender,age_group,국립중앙박물관,뮷즈_굿즈
2025-02-28,0.0,all,m,all,9.78738,2.24373
2025-03-01,0.0,all,all,10s,3.01225,0.33274
2025-03-01,0.0,all,all,20s,11.8672,1.63593
2025-03-01,0.0,all,all,30s,14.43713,2.19048
2025-03-01,0.0,all,all,40s_plus,16.76084,1.54214
2025-03-01,0.0,all,all,all,14.56545,1.71938
2025-03-01,0.0,all,f,all,15.66151,1.45969
2025-03-01,0.0,all,m,all,14.23336,2.44425
2025-03-02,0.0,all,all,10s,2.73204,0.28896
2025-03-02,0.0,all,all,20s,10.79612,1.61462
2025-03-02,0.0,all,all,30s,14.78299,2.97891
2025-03-02,0.0,all,all,40s_plus,16.22163,2.26684
2025-03-02,0.0,all,all,all,14.18754,2.27121
2025-03-02,0.0,all,f,all,14.9487,2.09192
2025-03-02,0.0,all,m,all,14.47536,2.89714
2025-03-03,0.0,all,all,10s,1.90017,0.24518
2025-03-03,0.0,all,all,20s,9.00031,1.37482
2025-03-03,0.0,all,all,30s,10.74417,2.34296
2025-03-03,0.0,all,all,40s_plus,11.94461,1.50116
2025-03-03,0.0,all,all,all,10.80705,1.69118
2025-03-03,0.0,all,f,all,11.22818,1.57591
2025-03-03,0.0,all,m,all,10.67242,2.05704
2025-03-04,0.0,all,all,10s,1.19089,0.15761
2025-03-04,0.0,all,all,20s,5.58456,1.13503
2025-03-04,0.0,all,all,30s,5.5227,1.81858
2025-03-04,0.0,all,all,40s_plus,4.92407,0.98567
2025-03-04,0.0,all,all,all,5.53701,1.28695
2025-03-04,0.0,all,f,all,5.47153,1.15288
2025-03-04,0.0,all,m,all,4.9127,1.49697
2025-03-05,0.0,all,all,10s,1.44483,0.1401
2025-03-05,0.0,all,all,20s,5.61121,1.20963
2025-03-05,0.0,all,all,30s,5.34419,1.42065
2025-03-05,0.0,all,all,40s_plus,4.48192,0.6643
2025-03-05,0.0,all,all,all,5.35934,1.00587
2025-03-05,0.0,all,f,all,5.16007,0.91889
2025-03-05,0.0,all,m,all,4.85047,1.17545
2025-03-06,0.0,all,all,10s,2.46935,0.1401
2025-03-06,0.0,all,all,20s,5.39806,0.83661
2025-03-06,0.0,all,all,30s,4.83097,1.26445
2025-03-06,0.0,all,all,40s_plus,4.61133,0.69234
2025-03-06,0.0,all,all,all,5.44582,0.93066
2025-03-06,0.0,all,f,all,5.30108,0.83831
2025-03-06,0.0,all,m,all,4.53241,1.01296
2025-03-07,0.0,all,all,10s,2.15411,0.24518
2025-03-07,0.0,all,all,20s,5.69647,1.14568
2025-03-07,0.0,all,all,30s,6.14749,1.42065
2025-03-07,0.0,all,all,40s_plus,5.36407,0.75705
2025-03-07,0.0,all,all,all,6.09165,1.09988
2025-03-07,0.0,all,f,all,5.84343,0.86466
2025-03-07,0.0,all,m,all,5.82195,1.44511
2025-03-08,0.0,all,all,10s,1.70753,0.16637
2025-03-08,0.0,all,all,20s,6.36789,0.87392
2025-03-08,0.0,all,all,30s,7.2074,1.20123
2025-03-08,0.0,all,all,40s_plus,6.44034,0.70528
2025-03-08,0.0,all,all,all,6.55511,0.8658
2025-03-08,0.0,all,f,all,6.58257,0.80267
2025-03-08,0.0,all,m,all,7.14261,1.08902
2025-03-09,0.0,all,all,10s,1.85639,0.23642
2025-03-09,0.0,all,all,20s,5.95225,0.90056
2025-03-09,0.0,all,all,30s,6.60121,1.27933
2025-03-09,0.0,all,all,40s_plus,5.84936,0.67077
2025-03-09,0.0,all,all,all,6.10951,0.88178
2025-03-09,0.0,all,f,all,6.24167,0.86001
2025-03-09,0.0,all,m,all,6.1815,1.02333
2025-03-10,0.0,all,all,10s,2.6007,0.09632
2025-03-10,0.0,all,all,20s,5.56325,1.03911
2025-03-10,0.0,all,all,30s,5.30328,1.30536
2025-03-10,0.0,all,all,40s_plus,4.46251,0.58666
2025-03-10,0.0,all,all,all,5.55675,0.94007
2025-03-10,0.0,all,f,all,5.08569,0.82437
2025-03-10,0.0,all,m,all,5.37251,1.02679
2025-03-11,0.0,all,all,10s,4.36952,0.28896
2025-03-11,0.0,all,all,20s,5.61121,1.7958
2025-03-11,0.0,all,all,30s,5.31444,2.13098
2025-03-11,0.0,all,all,40s_plus,4.56819,0.92744
2025-03-11,0.0,all,all,all,5.85569,1.55393
2025-03-11,0.0,all,f,all,5.54901,1.40855
2025-03-11,0.0,all,m,all,5.24805,1.60414
2025-03-12,0.0,all,all,10s,3.71278,0.23642
2025-03-12,0.0,all,all,20s,5.28615,1.36949
